1000        70                
100        76        95        
45        54        44        
97        55        44        
41        48        72        
74        62        59        
89        66        44        
88        75        88        
44        54        52        
59        66        48        
41        64        40        
99        69        82        
100        66        82        
48        83        70        
93        59        48        
89        76        52        
77        91        85        
47        73        45        
60        74        88        
63        57        40        
66        70        71        
88        95        53        
84        90        85        
89        84        72        
59        52        64        
92        60        70        
88        51        51        
41        94        64        
61        90        51        
88        98        57        
53        61        44        
90        50        87        
98        42        53        
67        88        53        
42        96        72        
44        62        98        
71        51        95        
84        80        99        
76        76        68        
96        52        90        
72        93        61        
55        84        83        
99        51        63        
66        58        55        
90        100        80        
54        45        92        
48        40        46        
55        89        82        
62        67        94        
96        73        92        
81        93        77        
96        45        55        
78        43        62        
83        59        97        
84        84        59        
79        89        80        
65        86        72        
96        83        94        
75        85        47        
44        96        50        
43        74        76        
93        85        94        
84        94        66        
59        65        82        
82        63        91        
51        69        90        
92        81        94        
97        56        91        
81        60        52        
58        56        47        
50        55        83        
77        53        49        
83        43        78        
61        80        53        
71        49        50        
63        67        56        
53        75        50        
49        49        61        
62        40        70        
40        56        94        
47        59        93        
60        60        83        
84        74        80        
49        54        58        
53        85        92        
40        87        74        
91        79        57        
57        46        40        
72        86        83        
83        47        75        
61        87        99        
93        41        63        
93        52        63        
43        74        69        
61        62        96        
70        73        43        
54        46        55        
68        72        98        
96        66        82        
73        64        59        
54        88        53        
54        52        44        
61        72        87        
94        94        40        
41        43        41        
60        90        96        
46        65        69        
99        77        67        
95        77        55        
78        93        72        
66        44        66        
76        64        51        
41        98        69        
88        96        65        
80        40        53        
69        82        84        
82        53        49        
74        53        69        
90        44        44        
42        50        80        
60        49        97        
74        52        64        
45        80        44        
59        80        70        
79        40        65        
96        78        40        
90        55        94        
79        88        58        
87        96        77        
50        91        79        
48        70        75        
59        85        80        
79        55        54        
57        57        46        
74        79        64        
60        92        87        
42        82        62        
54        98        82        
43        44        69        
66        69        84        
88        86        63        
83        75        70        
99        71        57        
86        61        45        
89        74        96        
61        69        77        
60        46        50        
42        97        63        
60        62        83        
47        100        99        
52        41        72        
52        44        56        
86        94        100        
42        93        88        
73        99        94        
82        47        44        
55        74        78        
75        81        90        
72        70        62        
53        99        86        
78        43        40        
65        74        97        
72        69        84        
93        42        68        
41        80        53        
87        54        91        
58        51        41        
53        90        61        
71        47        41        
55        85        88        
71        90        78        
71        84        40        
98        46        52        
46        90        76        
48        58        100        
49        98        67        
43        42        64        
47        96        40        
97        87        92        
41        89        50        
50        71        93        
62        73        52        
83        50        44        
62        90        58        
62        78        65        
79        57        49        
80        53        81        
77        69        49        
76        96        52        
45        83        73        
67        91        75        
41        58        69        
84        84        86        
83        51        55        
71        63        51        
72        62        97        
48        64        89        
84        55        95        
70        80        46        
50        62        80        
45        61        48        
62        58        44        
86        99        95        
97        61        89        
79        51        93        
48        40        81        
92        64        91        
77        50        74        
62        61        76        
100        92        64        
45        85        48        
55        67        70        
62        43        75        
83        49        44        
48        92        78        
53        60        68        
55        55        89        
78        55        77        
76        78        47        
55        82        63        
83        94        67        
91        49        40        
62        91        91        
64        41        83        
42        65        82        
45        99        65        
75        81        45        
89        76        55        
54        75        54        
69        96        51        
56        65        46        
70        61        57        
97        74        76        
93        56        47        
91        67        78        
99        68        92        
80        49        50        
76        90        100        
100        41        91        
53        57        78        
78        90        46        
45        100        84        
53        64        54        
70        41        54        
68        47        68        
91        80        82        
91        68        59        
85        77        57        
74        98        100        
96        50        98        
51        68        52        
44        73        69        
79        72        43        
52        99        76        
49        94        93        
61        60        87        
64        40        80        
70        88        64        
99        49        70        
77        78        52        
69        63        69        
44        42        69        
77        75        73        
76        60        51        
85        60        55        
79        56        91        
74        91        92        
55        79        100        
45        52        58        
87        69        97        
67        75        68        
68        52        88        
70        56        57        
100        60        68        
66        66        46        
88        58        83        
85        69        73        
52        67        40        
82        69        78        
49        40        77        
51        92        76        
40        60        70        
87        91        52        
88        63        63        
67        58        55        
53        80        44        
77        72        87        
100        74        40        
61        83        83        
46        98        86        
93        52        52        
100        78        45        
90        66        53        
64        55        56        
55        40        93        
88        68        45        
90        61        65        
42        60        78        
53        61        41        
50        73        73        
46        55        83        
59        67        90        
78        73        70        
85        57        84        
84        72        70        
96        71        40        
98        86        48        
95        45        61        
41        86        49        
95        58        76        
57        99        47        
87        94        80        
67        55        74        
61        76        81        
73        97        48        
49        62        82        
58        77        74        
40        62        93        
91        87        88        
77        46        86        
92        44        97        
54        70        88        
53        74        80        
71        94        99        
91        58        65        
84        100        89        
70        92        94        
86        81        57        
86        86        76        
55        53        54        
65        76        66        
98        51        45        
55        80        55        
40        52        57        
94        60        80        
89        91        89        
64        55        85        
40        87        97        
70        69        56        
62        42        78        
98        75        80        
47        84        91        
87        87        78        
42        97        70        
98        65        48        
41        63        47        
49        64        46        
98        100        89        
56        43        85        
68        67        60        
71        91        95        
91        45        76        
79        84        53        
86        61        98        
53        89        84        
85        100        85        
87        96        61        
57        77        69        
67        93        78        
98        59        57        
75        53        78        
79        69        55        
82        91        77        
51        77        79        
92        58        88        
48        79        48        
62        56        52        
95        93        52        
44        97        89        
71        93        82        
52        96        96        
47        57        84        
85        57        84        
99        62        46        
74        57        46        
57        71        44        
50        64        52        
71        46        52        
44        96        78        
75        91        83        
64        75        63        
41        66        88        
79        60        73        
74        50        90        
77        74        86        
90        94        64        
99        57        60        
78        93        51        
76        91        69        
61        88        98        
75        72        88        
80        74        41        
72        54        65        
50        66        100        
76        86        88        
71        72        87        
93        45        84        
72        64        72        
82        90        76        
66        47        74        
97        83        66        
74        85        79        
47        58        44        
47        61        94        
60        84        74        
71        80        52        
79        94        58        
100        90        87        
62        71        94        
40        93        89        
80        97        88        
81        54        55        
90        100        50        
67        51        88        
95        71        40        
46        61        93        
68        60        78        
100        48        96        
81        88        46        
67        67        63        
64        80        47        
66        77        43        
64        87        58        
53        71        74        
91        90        77        
41        79        92        
87        54        100        
60        96        71        
53        91        90        
75        75        100        
67        79        45        
46        71        68        
72        60        44        
58        95        84        
46        42        99        
55        96        80        
51        95        89        
58        49        98        
71        83        44        
50        54        82        
76        94        94        
51        57        77        
82        70        77        
54        44        91        
42        99        61        
77        53        64        
85        49        45        
69        69        43        
48        66        99        
90        61        74        
99        100        50        
40        43        65        
68        97        46        
76        75        99        
85        98        80        
93        56        96        
74        98        99        
94        77        90        
56        78        58        
81        49        76        
76        46        73        
54        77        74        
68        78        80        
99        62        98        
69        79        80        
57        65        86        
57        99        67        
77        87        91        
92        73        68        
64        80        67        
47        81        82        
76        87        54        
46        48        72        
92        97        51        
90        67        92        
89        63        52        
72        85        94        
89        97        46        
66        78        67        
83        41        65        
94        71        51        
48        48        64        
48        83        80        
64        94        72        
78        47        78        
54        94        76        
64        95        76        
96        50        64        
72        54        77        
49        88        67        
64        85        66        
100        54        70        
53        50        98        
55        84        71        
64        62        85        
70        43        73        
56        61        77        
72        92        68        
43        66        97        
85        54        62        
87        94        80        
89        73        58        
61        100        98        
71        52        68        
78        63        64        
72        90        45        
77        85        90        
56        56        76        
59        64        98        
44        48        83        
43        95        70        
76        63        58        
61        99        86        
43        84        41        
84        45        47        
83        81        45        
56        72        82        
94        62        74        
82        53        85        
54        82        77        
92        43        75        
88        87        52        
47        71        98        
98        43        59        
74        80        42        
85        80        49        
54        47        89        
68        68        57        
44        51        64        
99        71        40        
89        83        46        
79        96        82        
47        56        99        
97        82        47        
89        97        99        
54        89        51        
98        65        73        
81        40        71        
69        42        92        
62        72        57        
62        46        67        
70        99        61        
100        54        61        
41        75        98        
63        91        58        
90        82        74        
70        89        100        
76        93        94        
53        92        70        
94        54        76        
60        79        46        
99        91        49        
75        55        51        
84        61        99        
74        40        78        
41        96        40        
53        85        56        
41        52        95        
48        61        83        
69        70        94        
90        63        94        
59        94        97        
89        74        43        
88        82        90        
43        52        56        
68        98        47        
86        55        43        
53        77        99        
74        59        58        
96        82        74        
68        98        70        
92        94        87        
84        67        52        
89        72        88        
66        54        82        
42        61        53        
97        71        46        
45        68        52        
97        40        72        
50        76        71        
72        70        51        
88        98        41        
95        88        50        
55        51        42        
91        94        53        
60        78        42        
60        100        92        
72        41        54        
88        40        83        
94        80        56        
45        72        73        
51        86        62        
66        85        55        
64        78        65        
91        87        98        
77        91        65        
45        69        97        
84        49        93        
100        41        97        
76        76        52        
73        50        87        
61        62        63        
69        49        79        
85        73        47        
90        100        71        
78        71        98        
82        96        57        
50        76        44        
82        100        60        
50        89        41        
64        85        47        
94        57        80        
53        71        47        
43        95        76        
62        87        43        
64        45        89        
86        58        76        
100        67        94        
55        64        81        
81        52        81        
79        68        87        
42        51        68        
48        76        70        
80        52        65        
50        100        48        
85        82        51        
40        54        99        
74        99        83        
48        51        47        
40        79        72        
47        57        78        
67        82        98        
72        98        73        
92        80        97        
58        68        100        
95        57        97        
66        71        42        
86        70        54        
76        59        59        
68        47        46        
90        95        95        
70        78        64        
75        80        50        
99        40        80        
85        97        65        
80        98        79        
82        49        86        
53        54        66        
41        45        57        
57        42        49        
61        71        52        
92        83        76        
96        70        96        
69        78        48        
46        60        50        
74        96        44        
47        93        64        
61        73        51        
54        49        41        
46        48        54        
47        80        61        
45        89        69        
90        44        71        
98        57        100        
72        52        75        
83        42        59        
59        63        74        
73        71        97        
67        79        51        
46        73        91        
81        94        93        
56        45        78        
59        100        53        
97        42        68        
72        64        73        
43        77        79        
82        82        40        
43        85        43        
99        86        40        
75        49        40        
78        95        91        
80        84        91        
54        43        60        
76        98        99        
56        44        88        
47        40        100        
85        96        88        
68        81        69        
95        89        97        
77        41        76        
97        83        79        
61        89        70        
97        45        94        
85        67        49        
65        73        44        
68        59        100        
75        60        56        
99        75        46        
90        70        69        
65        40        74        
79        66        94        
73        92        75        
61        57        65        
72        64        89        
93        76        49        
46        55        45        
46        85        49        
41        89        79        
59        61        81        
98        87        92        
40        63        42        
76        63        51        
45        63        72        
75        79        65        
53        85        100        
55        79        63        
56        79        43        
95        63        59        
60        53        100        
77        74        79        
82        84        98        
58        49        52        
68        52        49        
83        85        80        
99        77        63        
69        45        82        
85        63        84        
53        40        76        
90        86        42        
98        74        43        
74        79        42        
59        48        85        
80        79        87        
52        65        78        
97        73        64        
96        87        56        
76        87        89        
72        59        83        
48        49        70        
83        42        53        
80        40        63        
97        52        56        
83        49        68        
85        91        88        
83        67        93        
87        66        67        
80        49        40        
99        74        85        
100        86        78        
57        68        71        
80        96        64        
91        50        64        
55        77        79        
56        73        73        
90        51        73        
82        51        72        
98        95        76        
78        51        50        
88        79        47        
42        61        77        
96        79        40        
62        44        52        
67        87        69        
51        96        45        
41        89        84        
44        98        73        
74        75        47        
99        72        74        
83        41        49        
45        71        64        
57        54        75        
87        62        89        
73        88        44        
59        95        66        
68        59        74        
54        98        64        
61        83        74        
94        57        59        
76        73        40        
75        94        55        
80        87        67        
56        77        58        
48        92        81        
76        49        88        
83        87        100        
62        53        53        
79        44        46        
41        94        73        
71        97        59        
76        91        80        
45        48        46        
59        61        77        
94        52        86        
87        57        95        
74        88        56        
69        70        99        
95        52        63        
94        73        85        
71        100        59        
72        79        66        
76        58        52        
60        99        79        
43        100        46        
63        76        100        
48        52        61        
93        74        59        
95        83        84        
61        100        97        
99        62        43        
62        45        79        
93        74        81        
64        94        88        
90        55        82        
60        63        73        
80        60        96        
57        100        42        
59        65        43        
55        81        67        
62        72        43        
96        52        83        
72        65        45        
89        83        86        
72        83        75        
76        51        46        
98        53        80        
54        53        77        
60        46        85        
44        88        79        
91        50        96        
72        66        42        
92        52        99        
98        99        65        
47        74        90        
49        63        94        
65        45        60        
46        99        62        
64        94        79        
43        63        64        
72        86        71        
74        83        49        
45        73        100        
87        68        58        
65        54        46        
100        65        69        
85        74        81        
98        76        87        
79        53        49        
59        74        70        
42        70        46        
98        91        56        
47        43        95        
66        48        74        
92        99        83        
52        51        84        
84        78        53        
66        55        90        
84        49        71        
73        53        43        
55        83        61        
100        99        79        
93        100        53        
63        80        56        
76        61        96        
65        57        60        
60        50        61        
48        48        94        
84        96        46        
48        67        71        
75        64        83        
70        100        64        
47        59        71        
91        95        98        
82        47        53        
70        82        82        
57        86        43        
53        62        51        
88        51        92        
67        54        100        
77        66        60        
84        48        66        
80        53        97        
64        89        84        
76        52        76        
79        91        75        
45        78        69        
